ISO Code,CountryName,Year,Preterm,Intrapartum,Sepsis,Tetanus,Congenital,Pneumonia,Diarrhoea,Malaria,AIDS,Measles,Injury,Meningitis,Other,Total,Pneumonia (Newborn),Preterm (Newborn),Intrapartum (Newborn),Sepsis (Newborn),Tetanus (Newborn),Congenital (Newborn),Diarrhoea (Newborn),Other (Newborn),"Pneumonia 
(1-59 months)","Diarrhoea
(1-59 months)","Malaria
(1-59 months)","AIDS
(1-59 months)","Measles
(1-59 months)","Injuries 
(1-59 months)","Meningitis 
(1-59 months)","Other 
(1-59 months)",Total,Pneumonia ,Diarrhoea ,Malaria ,AIDS ,Measles ,Injuries ,Meningitis ,Other ,Total,Pneumonia ,Preterm ,Intrapartum ,Sepsis ,Tetanus ,Congenital ,Diarrhoea ,Other ,Total
AFG,Afghanistan,2016,19.3,15.6,10.2,1.6,6.4,16.1,8.6,0.1,0,0.8,5.3,1.8,14.2,100,3.9,17.5,15.1,10.2,1.6,4.7,0.6,4,12.3,8,0.1,0,0.8,4.7,1.8,14.8,100,28.9,18.8,0.2,0.1,1.9,11,4.3,34.9,100,6.7,30.4,26.3,17.8,2.7,8.1,1.1,6.9,100
ALB,Albania,2016,20.2,6.8,2.7,0.4,27.2,10.2,1,0,0.5,0,11.6,1.8,17.7,100,3,18.7,5.6,2.7,0.4,12.1,0,3.2,7.2,1,0,0.5,0,11,1.8,32.7,100,13.3,1.8,0,0.8,0,20.3,3.3,60.5,100,6.5,40.9,12.2,5.9,0.9,26.5,0,7,100
DZA,Algeria,2016,21,14.5,9.4,0.2,15.9,13,4.8,0,0.1,0.3,6.2,0.8,13.9,100,3.2,19.1,13.8,9.4,0.2,11.5,0.1,4.2,9.7,4.7,0,0.1,0.3,5.3,0.8,17.7,100,25.3,12.2,0,0.2,0.7,13.7,2.1,45.9,100,5.3,31,22.5,15.3,0.3,18.7,0.2,6.8,100
AND,Andorra,2016,66.7,0,0,0,16.7,0,0,0,0,0,0,0,16.7,100,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,100,100,0,100,0,0,0,0,0,0,100
AGO,Angola,2016,12.4,13.1,6.1,0.4,7.1,17.8,12.6,5.6,1.6,0.4,5.1,1.4,16.3,100,2.8,10.1,11.9,6.1,0.4,3.1,0.2,2.4,15,12.4,5.6,1.6,0.4,4.7,1.4,22,100,23.7,19.6,8.9,2.5,0.7,7.4,2.3,34.8,100,7.5,27.3,32.2,16.4,1.2,8.3,0.5,6.6,100
ATG,Antigua & Barbuda,2016,16.9,5.7,3.5,0,44.8,2.2,0,0,1,0,2.5,0,23.4,100,0,14.9,5.7,3.5,0,16.6,0,2.2,2.2,0,0,1,0,2.5,0,51.4,100,3.9,0,0,1.8,0,4.5,0,89.9,100,0,34.7,13.3,8.2,0,38.8,0,5.1,100
ARG,Argentina,2016,27.5,4.4,5.3,0,29.2,6.5,1.2,0,0.1,0,7.1,1.1,17.4,100,0.8,25.1,4.1,5.3,0,15.7,0,5,5.8,1.2,0,0.1,0,6.7,1.1,29.1,100,13.1,2.8,0,0.2,0,15.3,2.6,66.1,100,1.3,44.9,7.3,9.5,0,28.1,0,8.9,100
ARM,Armenia,2016,23.8,8.3,3.8,0,26.7,10,1.2,0,0,0.6,8.7,1.6,15.4,100,3.1,22.1,6.2,3.8,0,14.4,0,4.7,6.9,1.2,0,0,0.6,8,1.6,27.5,100,15,2.6,0,0.1,1.3,17.4,3.5,60.1,100,5.8,40.7,11.4,6.9,0,26.4,0,8.7,100
AUS,Australia,2016,21.2,10.9,1.3,0,27.1,2.9,0.6,0,0,0,7,0.8,28.3,100,0.1,18.7,10.3,1.3,0,17.8,0,11.6,2.8,0.6,0,0,0,6.7,0.7,29.4,100,7,1.5,0,0,0,16.7,1.8,73,100,0.2,31.3,17.2,2.2,0,29.7,0,19.4,100
AUT,Austria,2016,17.1,10.6,3.5,0,38.8,0.5,0,0,0,0,5,0.5,24.1,100,0,14.3,10.2,3.5,0,24.8,0,10.8,0.5,0,0,0,0,5,0.5,30.5,100,1.3,0,0,0,0,13.8,1.3,83.7,100,0,22.5,16,5.5,0,39,0,17,100
AZE,Azerbaijan,2016,22.8,14.1,7.2,0.2,14.1,12.5,5.9,0,0.1,0,6.4,0.6,16.2,100,3.1,21.5,12.5,7.2,0.2,9.8,0.2,3.8,9.4,5.7,0,0.1,0,6,0.6,20.1,100,22.4,13.6,0,0.1,0,14.3,1.5,48.1,100,5.3,36.9,21.4,12.4,0.4,16.8,0.3,6.4,100
BHS,Bahamas,2016,24,9.4,3.5,0,13.7,14.8,1.7,0,1.7,0,9.2,0,22,100,5.1,23.6,8.4,3.5,0,8.8,0,4.9,9.8,1.7,0,1,0,9.2,0,24.2,100,21.3,3.7,0,2.1,0,20.1,0,52.8,100,9.4,43.5,15.5,6.4,0,16.2,0,9,100
BHR,Bahrain,2016,34.5,3,0.2,0,35.4,1.9,0.3,0,0.3,0,4.5,0.9,19.2,100,0.3,21,0.6,0.2,0,15.6,0,3.5,1.6,0.3,0,0.3,0,4.5,0.9,51.3,100,2.8,0.5,0,0.5,0,7.6,1.5,87.1,100,0.7,51.1,1.4,0.4,0,38,0,8.5,100
BGD,Bangladesh,2016,19,14.1,11.9,0.2,9.3,16.1,6.7,0,0,0,6.8,1.6,14.2,100,3.5,17.5,13.4,11.9,0.2,7.6,0.4,4.3,12.5,6.3,0,0,0,6.4,1.6,14.3,100,30.4,15.3,0,0,0.1,15.5,3.9,34.7,100,6,29.8,22.7,20.2,0.4,12.9,0.6,7.2,100
BRB,Barbados,2016,16,13.4,10.7,0,25.3,2.4,0,0,0,0,7.3,0,24.8,100,0,13.8,11.2,10.7,0,17.6,0,11.1,2.4,0,0,0,0,6.5,0,26.8,100,6.8,0,0,0,0,18.1,0,75.1,100,0,21.5,17.3,16.7,0,27.3,0,17.2,100
BLR,Belarus,2016,18.8,6.4,2,0,35.4,5.9,0.6,0,0.3,0,8.8,1.2,20.6,100,1,14.7,4.1,2,0,12.5,0,4.1,5,0.6,0,0.3,0,8.3,1.2,46.4,100,8,1,0,0.5,0,13.4,1.9,75.1,100,2.6,38.3,10.7,5.2,0,32.6,0,10.6,100
